Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;1;2005;F;D;60628;822;21928,7; AUTRES FOURNITURES NON STOCKEES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;I;R;21318;;9470918,12; AUTRES BATIMENTS PUBLICS;
VILLE;1;2005;F;D;60636;40;9567,29; VETEMENTS DE TRAVAIL;SERVICES COMMUNS
VILLE;1;2005;F;D;65738;824;154368; SUBVENTIONS DE FONCTIONNEMENT AUX AUTRES ORGANISMES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;D;61558;40;1702,82; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;SERVICES COMMUNS
VILLE;1;2005;F;D;64112;64;239,88; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;CRECHES ET GARDERIES
VILLE;1;2005;F;D;65718;824;1177400; SUBVENTIONS D'EQUIPEMENT AUX AUTRES ORGANISMES DIVERS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2005;F;D;6331;421;2729,82; VERSEMENT DE TRANSPORT;CENTRES DE LOISIRS
VILLE;1;2005;F;R;70323;91;850497; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;FOIRES ET MARCHES
VILLE;1;2005;F;D;6188;20;7835,12; AUTRES FRAIS DIVERS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;I;D;2184;213;38693,63; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;CLASSES REGROUPEES
VILLE;1;2005;F;D;61558;823;33989,56; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;ESPACES VERTS URBAINS
VILLE;1;2005;F;R;758;422;43011,68; Produits divers de gestion cou;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;637;20;23366,17; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;654;;460000; PERTES SUR CREANCES IRRECOUVRABLES;
VILLE;1;2005;F;R;778;421;42; AUTRES PRODUITS EXCEPTIONNELS;CENTRES DE LOISIRS
VILLE;1;2005;F;R;778;30;69837; AUTRES PRODUITS EXCEPTIONNELS;SERVICES COMMUNS
VILLE;1;2005;F;D;6247;48;1138; TRANSPORT COLLECTIF;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2005;I;D;2188;822;79538,64; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2005;F;D;64831;64;45848,59; INDEMNITES AUX AGENTS;CRECHES ET GARDERIES
VILLE;1;2005;I;D;2312;414;228767,91; IMMOBILISATIONS EN COURS TERRAINS;AUTRES EQUIPEMENTS SPORTIFS OU DE LOISIR
VILLE;1;2005;I;D;2188;814;259725,32; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;ECLAIRAGE PUBLIC
VILLE;1;2005;F;D;64131;22;102155,31; REMUNERATION;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2005;F;D;64118;112;1080971,94; AUTRES INDEMNITES PERSONNEL TITULAIRE;POLICE MUNICIPALE
VILLE;1;2005;F;D;6156;90;19590,4; MAINTENANCE;INTERVENTIONS ECONOMIQUES
VILLE;1;2005;F;D;6331;820;25471,53; VERSEMENT DE TRANSPORT;SERVICES COMMUNS
VILLE;1;2005;F;D;6451;411;177146,82; COTISATIONS A L'URSSAF;SALLES DE SPORT, GYMNASES
VILLE;1;2005;F;D;6065;48;158; LIVRES DISQUES CASSETTES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2005;F;D;6478;30;53,59; AUTRES CHARGES SOCIALES DIVERSES;SERVICES COMMUNS
VILLE;1;2005;F;D;6065;211;13084,69; LIVRES DISQUES CASSETTES;ECOLES MATERNELLES
VILLE;1;2005;F;R;758;823;104952,8; Produits divers de gestion cou;ESPACES VERTS URBAINS
VILLE;1;2005;F;D;6574;30;1066245; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;SERVICES COMMUNS
VILLE;1;2005;F;D;64731;20;20359,37; ALLOC CHOM;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;6231;422;2260,44; ANNONCES ET INSERTIONS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;6451;323;73915,04; COTISATIONS A L'URSSAF;ARCHIVES
VILLE;1;2005;F;D;6231;814;626,67; ANNONCES ET INSERTIONS;ECLAIRAGE PUBLIC
VILLE;1;2005;F;D;637;23;180,84; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2005;F;D;64118;323;74166,4; AUTRES INDEMNITES PERSONNEL TITULAIRE;ARCHIVES
VILLE;1;2005;F;D;6042;64;446201,65; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;CRECHES ET GARDERIES
VILLE;1;2005;F;D;6453;421;17871,3; COTISATIONS AUX CAISSES DE RETRAITES;CENTRES DE LOISIRS
VILLE;1;2005;I;R;1321;211;40540,11; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;ECOLES MATERNELLES
VILLE;1;2005;F;D;6488;422;81539,4; AUTRES CHARGES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;F;D;64112;411;33368,37; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;SALLES DE SPORT, GYMNASES
VILLE;1;2005;F;D;6453;211;1190012,12; COTISATIONS AUX CAISSES DE RETRAITES;ECOLES MATERNELLES
VILLE;1;2005;F;R;74127;;3044177; Dotation nationale de péréquat;
VILLE;1;2005;F;D;64831;21;6032,98; INDEMNITES AUX AGENTS;ASSEMBLEE LOCALE
VILLE;1;2005;F;D;6237;20;16899,99; PUBLICATIONS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;R;7581;20;29158; Produits divers de gestion cou;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;61551;821;2167,15; ENTRETIEN ET REPARATIONS MATERIEL ROULANT;EQUIPEMENTS DE VOIRIE
VILLE;1;2005;F;D;60613;20;156414,96; CHAUFFAGE URBAIN;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2005;F;D;6232;90;211761,33; FETES ET CEREMONIES;INTERVENTIONS ECONOMIQUES
VILLE;1;2005;I;R;1325;324;82500; SUBVENTIONS D'EQUIPEMENT NON TRANSFERABLES GROUPEMENTS DE COLLECTIVITES;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2005;F;D;678;30;10; AUTRES CHARGES EXCEPTIONNELLES;SERVICES COMMUNS
VILLE;1;2005;F;R;7066;422;25952,1; REDEVANCES ET DROITS DES SERVICES A CARACTERE SOCIAL;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2005;I;D;2315;821;104489,28; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;EQUIPEMENTS DE VOIRIE
