Code Nature Chapitre;Libellé Nature Chapitre;Libellé court Nature Chapitre;Type de chapitre;Section;Spécial;Année;Norme;Plan comptable;Entité
77;Produits exceptionnels;Produits exceptionnels;C;F;0;2021;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
021;Virement de la section d'exploitation;Virement de la section d'exploitation;L;I;0;2016;M4;M4-M4;Services publics locaux à caractère industriel et commercial
10;Dotations, fonds divers et réserves;Dotations, fonds divers et réserves;C;I;0;2017;M4;M4-M44;Etablissements publics fonciers locaux
021;Virement de la section de fonctionnement;Virement de la sect° de fonctionnement;L;I;0;2015;M14;M14-M14_CCAS_SUP3500;CCAS (Centre communal d'action sociale) communes de plus de 3500 habitants
021;Virement de la section de fonctionnement;Virement de la sect° de fonctionnement;L;I;0;2019;M14;M14-M14_COM_500_3500;Communes avec entre 500 et 3500 habitants
74;Contributions et participations;Contributions et participations;C;F;0;2021;M61;M61-M61;Service départemental d'incendie et de secours
024;Produits des cessions d'immobilisations;Produits des cessions d'immobilisations;L;I;0;2022;M52;M52-M52;Départements
001;Solde d'exécution de la section d'investissement reporté;Solde d'exécution de la section d'invest;L;I;0;2013;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
20;Immobilisations incorporelles;Immobilisations incorporelles;C;I;0;2015;M4;M4-M44;Etablissements publics fonciers locaux
4582;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2018;M4;M4-M43_D;Services publics locaux de transport de personnes (Plan développé)
68;Dotations aux provisions et dépréciations;Dotations aux provisions, dépréciations;C;F;0;2022;M57;M57-M57_A;Métropoles et collectivités territoriales uniques (Plan abrégé)
040;Opérations d'ordre de transfert entre sections;Opérat° ordre transfert entre sections;G;I;0;2020;M4;M4-M4;Services publics locaux à caractère industriel et commercial
010;Stocks;Stocks;G;I;0;2023;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
4582;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2017;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
45611;Opérations d'investissement sur établissements d'enseignement remis à la région;Opérat° invest. établist enseignt région;C;I;0;2019;M14;M14-M14_COM_500_3500;Communes avec entre 500 et 3500 habitants
18;Compte de liaison : affectation (budgets annexes);Compte de liaison : affectation (BA);C;I;0;2021;M61;M61-M61;Service départemental d'incendie et de secours
001;Solde d'exécution de la section d'investissement reporté;Solde exécution invest. reporté;L;I;0;2021;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
74;Subventions d'exploitation;Subventions d'exploitation;C;F;0;2015;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
022;Dépenses imprévues;Dépenses imprévues;L;F;0;2017;M61;M61-M61;Service départemental d'incendie et de secours
67;Charges exceptionnelles;Charges exceptionnelles;C;F;0;2020;M52;M52-M52;Départements
022;Dépenses imprévues;Dépenses imprévues;L;F;0;2016;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
041;Opérations patrimoniales;Opérations patrimoniales;G;I;0;2018;M14;M14-M14_CE;Caisses des écoles
67;Charges exceptionnelles;Charges exceptionnelles;C;F;0;2023;M71;M71-M71;Régions
014;Atténuations de produits;Atténuations de produits;G;F;0;2015;M61;M61-M61;Service départemental d'incendie et de secours
16;Emprunts et dettes assimilées;Emprunts et dettes assimilées;C;I;0;2018;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
10;Dotations, fonds divers et réserves;Dotations, fonds divers et réserves;C;I;0;2022;M4;M4-M4;Services publics locaux à caractère industriel et commercial
022;Dépenses imprévues;Dépenses imprévues;L;F;0;2022;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
015;Revenu minimum d'insertion;Revenu minimum d'insertion;G;F;1;2016;M52;M52-M52;Départements
041;Opérations patrimoniales;Opérations patrimoniales;G;I;0;2018;M4;M4-M41;Services publics de distribution d'énergie électrique et gazière
024;Produits des cessions d'immobilisations;Produits des cessions d'immobilisations;L;I;0;2022;M57;M57-M57_A;Métropoles et collectivités territoriales uniques (Plan abrégé)
4542;Travaux effectués d'office pour le compte de tiers;Travaux effectués d'office;C;I;0;2020;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
16;Emprunts et dettes assimilées;Emprunts et dettes assimilées;C;I;0;2021;M14;M14-M14_CE;Caisses des écoles
73;Impôts et taxes;Impôts et taxes;C;F;0;2019;M14;M14-M14_COM_INF500;Communes de moins de 500 habitants
22;Immobilisations reçues en affectation ou en concession;Immobilisations reçues en affectation;C;I;0;2021;M4;M4-M49_D;Services publics d'assainissement et de distribution d'eau potable (Plan développé)
21;Immobilisations corporelles;Immobilisations corporelles;C;I;0;2018;M4;M4-M42;Services publics des abattoirs
021;Virement de la section d'exploitation;Virement de la section d'exploitation;L;I;0;2018;M4;M4-M44;Etablissements publics fonciers locaux
011;Charges à caractère général;Charges à caractère général;G;F;0;2015;M61;M61-M61;Service départemental d'incendie et de secours
21;Immobilisations corporelles;Immobilisations corporelles;C;I;0;2015;M61;M61-M61;Service départemental d'incendie et de secours
13;Subventions d'investissement;Subventions d'investissement;C;I;0;2015;M4;M4-M43_A;Services publics locaux de transport de personnes (Plan abregé)
23;Immobilisations en cours;Immobilisations en cours;C;I;0;2018;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
66;Charges financières;Charges financières;C;F;0;2018;M52;M52-M52;Départements
65;Autres charges de gestion courante;Autres charges de gestion courante;C;F;0;2013;M14;M14-M14_COM_500_3500;Communes avec entre 500 et 3500 habitants
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2023;M14;M14-M14_CCAS_INF3500;CCAS (Centre communal d'action sociale) communes de moins de 3500 habitants
012;Charges de personnel et frais assimilés;Charges de personnel, frais assimilés;G;F;0;2017;M4;M4-M49_A;Services publics d'assainissement et de distribution d'eau potable (Plan abregé)
70;Produits des services, du domaine et ventes diverses;Prod. services, domaine, ventes diverses;C;F;0;2014;M52;M52-M52;Départements
74;Dotations et participations;Dotations et participations;C;F;0;2019;M14;M14-M14_COM_SUP3500;Communes de plus de 3500 habitants
20;Immobilisations incorporelles;Immobilisations incorporelles;C;I;0;2017;M52;M52-M52;Départements
4582;Opérations pour le compte de tiers;Opérations pour le compte de tiers;C;I;0;2018;M4;M4-M44;Etablissements publics fonciers locaux
75;Autres produits de gestion courante;Autres produits de gestion courante;C;F;0;2013;M4;M4-M44;Etablissements publics fonciers locaux
